queries,local,country,lat,lon
"Provence, France",Salon-de-Provence,France,43.64033,5.07948
"Victoria Falls, Zimbabwe",Hwange,Zimbabwe,-17.92838,25.83792
"Moraine Lake, Canada",Alberta,Canada,51.37848,-116.1621
"Tulip Fields in Netherlands, 29. Tulip Fields in Netherlands",South Holland,Netherlands,51.89787674,4.69661188
"Geiranger Fjord, Norway",Valldal,Norway,62.29789,7.25563
"Mount Roraima, Brazil",Brazil,Brazil,2.82179,-60.67353
"Vatnajokull Glacier Cave, Iceland",Sveitarfélagið Hornafjörður,Iceland,64.01542,-16.96571
"Batu Caves, Malaysia",Batu Caves,Malaysia,3.23593,101.68179
"Gásadalur, Faroe Islands",Gásadalur,Faroe Islands,62.11018,-7.43815
"Antelope Canyon, USA",AZ,United States,36.95276642,-111.44126892
"Iguazu Falls, Brazil",Iguatu,Brazil,-6.35856,-39.29778
"Giza Pyramids, Egypt",El Dokki,Egypt,30.04109,31.20536
"McWay Falls, USA",CA,United States,36.1578064,-121.67214203
"Cappadocia, Turkey",Türkiye,Türkiye,38.65832901,34.85361099
